slug,obra,autor,year,decada,categoria_slug
biografia-2024,King: A Life,Jonathan Eig,2024,2020,biografia
biografia-2024-2,Master Slave Husband Wife: An Epic Journey from Slavery to Freedom,Ilyon Woo,2024,2020,biografia
ficcion-2024,Night Watch,Jayne Anne Phillips,2024,2020,ficcion
historia-2024,No Right to an Honest Living: The Struggles of Boston’s Black Workers in the Civil War Era,Jacqueline Jones,2024,2020,historia
memorias-2024,Liliana’s Invincible Summer: A Sister’s Search for Justice,Cristina Rivera Garza,2024,2020,memorias
no-ficcion-general-2024,A Day in the Life of Abed Salama: Anatomy of a Jerusalem Tragedy,Nathan Thrall,2024,2020,no-ficcion-general
poesia-2024,Tripas: Poems,Brandon Som,2024,2020,poesia
teatro-2024,Primary Trust,Eboni Booth,2024,2020,teatro
ficcion-2023,Demon Copperhead,Barbara Kingsolver,2023,2020,ficcion
historia-2023,Freedom’s Dominion: A Saga of White Resistance to Federal Power,Jefferson Cowie,2023,2020,historia
memorias-2023,Stay True,Hua Hsu,2023,2020,memorias
no-ficcion-general-2023,His Name Is George Floyd: One Man’s Life and the Struggle for Racial Justice,Robert Samuels and Toluse Olorunnipa,2023,2020,no-ficcion-general
poesia-2023,"Then the War: And Selected Poems, 2007-2020",Carl Phillips,2023,2020,poesia
teatro-2023,English,Sanaz Toossi,2023,2020,teatro
biografia-2019,The New Negro: The Life of Alain Locke,Jeffrey C. Stewart,2019,2010,biografia
ficcion-2019,The Overstory,Richard Powers,2019,2010,ficcion
historia-2019,Frederick Douglass: Prophet of Freedom,David W. Blight,2019,2010,historia
no-ficcion-general-2019,Amity and Prosperity: One Family and the Fracturing of America,Eliza Griswold,2019,2010,no-ficcion-general
poesia-2019,Be With,Forrest Gander,2019,2010,poesia
teatro-2019,Fairview,Jackie Sibblies Drury,2019,2010,teatro
biografia-2018,Prairie Fires: The American Dreams of Laura Ingalls Wilder,Caroline Fraser,2018,2010,biografia
ficcion-2018,Less,Andrew Sean Greer,2018,2010,ficcion
historia-2018,The Gulf: The Making of an American Sea,Jack E. Davis,2018,2010,historia
no-ficcion-general-2018,Locking Up Our Own: Crime and Punishment in Black America,James Forman Jr.,2018,2010,no-ficcion-general
poesia-2018,Half-light: Collected Poems 1965-2016,Frank Bidart,2018,2010,poesia
teatro-2018,Cost of Living,Martyna Majok,2018,2010,teatro
biografia-2009,American Lion: Andrew Jackson in the White House,Jon Meacham,2009,2000,biografia
ficcion-2009,Olive Kitteridge,Elizabeth Strout,2009,2000,ficcion
historia-2009,The Hemingses of Monticello: An American Family,Annette Gordon-Reed,2009,2000,historia
no-ficcion-general-2009,Slavery by Another Name: The Re-Enslavement of Black Americans from the Civil War to World War II,Douglas A. Blackmon,2009,2000,no-ficcion-general
poesia-2009,The Shadow of Sirius,W.S. Merwin,2009,2000,poesia
teatro-2009,Ruined,Lynn Nottage,2009,2000,teatro
biografia-2008,Eden's Outcasts: The Story of Louisa May Alcott and Her Father,John Matteson,2008,2000,biografia
ficcion-2008,The Brief Wondrous Life of Oscar Wao,Junot Diaz,2008,2000,ficcion
historia-2008,"What Hath God Wrought: The Transformation of America, 1815-1848",Daniel Walker Howe,2008,2000,historia
no-ficcion-general-2008,"The Years of Extermination: Nazi Germany and the Jews, 1939-1945",Saul Friedländer,2008,2000,no-ficcion-general
poesia-2008,Time and Materials,Robert Hass,2008,2000,poesia
teatro-2008,August: Osage County,Tracy Letts,2008,2000,teatro
